,data_set,np_seed,tf_seed,serialized_model,trial_idx,rectifier,kernel_init,kernel_size,strides,train_batch_size,epochs,q_train_size,retrain_tries,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-10 00:51:01.941520,mnist,0,0,Sequential2020-06-10 00:51:01.941520,1,relu,GlorotUniform,3,2,128,10,10000,3,2.321928094887362,0.988099992275238,0.7817999720573425,0.9702000021934509
2020-06-10 00:59:43.971404,mnist,0,0,Sequential2020-06-10 00:59:43.971404,1,relu,GlorotUniform,3,2,128,10,10000,3,2.584962500721156,0.987500011920929,0.7559000253677368,0.958899974822998
2020-06-10 01:08:30.250832,mnist,0,0,Sequential2020-06-10 01:08:30.250832,1,relu,GlorotUniform,3,2,128,10,10000,3,2.807354922057604,0.9857000112533569,0.7378000020980835,0.9002000093460083
2020-06-10 01:12:53.635268,mnist,0,0,Sequential2020-06-10 01:12:53.635268,1,relu,GlorotUniform,5,2,128,10,10000,1,1.584962500721156,0.988099992275238,0.8984000086784363,0.5728999972343445
2020-06-10 01:17:15.499418,mnist,0,0,Sequential2020-06-10 01:17:15.499418,1,relu,GlorotUniform,5,2,128,10,10000,1,2.0,0.9873999953269958,0.9003999829292297,0.9230999946594238
2020-06-10 01:21:36.434516,mnist,0,0,Sequential2020-06-10 01:21:36.434516,1,relu,GlorotUniform,5,2,128,10,10000,1,2.321928094887362,0.9836000204086304,0.6597999930381775,0.8116999864578247
2020-06-10 01:25:55.826498,mnist,0,0,Sequential2020-06-10 01:25:55.826498,1,relu,GlorotUniform,5,2,128,10,10000,1,2.584962500721156,0.989300012588501,0.9086999893188477,0.8532999753952026
2020-06-10 01:30:18.490800,mnist,0,0,Sequential2020-06-10 01:30:18.490800,1,relu,GlorotUniform,5,2,128,10,10000,1,2.807354922057604,0.9832000136375427,0.8526999950408936,0.8564000129699707
2020-06-10 01:39:00.818340,mnist,0,0,Sequential2020-06-10 01:39:00.818340,1,relu,GlorotUniform,5,2,128,10,10000,2,1.584962500721156,0.9901999831199646,0.9431999921798706,0.9668999910354614
2020-06-10 01:47:39.453322,mnist,0,0,Sequential2020-06-10 01:47:39.453322,1,relu,GlorotUniform,5,2,128,10,10000,2,2.0,0.9902999997138977,0.9120000004768372,0.9768000245094299
2020-06-10 01:56:16.004363,mnist,0,0,Sequential2020-06-10 01:56:16.004363,1,relu,GlorotUniform,5,2,128,10,10000,2,2.321928094887362,0.991100013256073,0.9271000027656555,0.9470000267028809
2020-06-10 02:04:50.987848,mnist,0,0,Sequential2020-06-10 02:04:50.987848,1,relu,GlorotUniform,5,2,128,10,10000,2,2.584962500721156,0.9898999929428101,0.9179999828338623,0.9444000124931335
2020-06-10 02:13:29.138161,mnist,0,0,Sequential2020-06-10 02:13:29.138161,1,relu,GlorotUniform,5,2,128,10,10000,2,2.807354922057604,0.9907000064849854,0.9205999970436096,0.9724000096321106
2020-06-10 02:26:25.773148,mnist,0,0,Sequential2020-06-10 02:26:25.773148,1,relu,GlorotUniform,5,2,128,10,10000,3,1.584962500721156,0.9907000064849854,0.9282000064849854,0.9754999876022339
2020-06-10 02:39:17.249753,mnist,0,0,Sequential2020-06-10 02:39:17.249753,1,relu,GlorotUniform,5,2,128,10,10000,3,2.0,0.9905999898910522,0.9304999709129333,0.9753999710083008
2020-06-10 02:52:13.420750,mnist,0,0,Sequential2020-06-10 02:52:13.420750,1,relu,GlorotUniform,5,2,128,10,10000,3,2.321928094887362,0.9894999861717224,0.8614000082015991,0.9412999749183655
2020-06-10 03:05:05.293403,mnist,0,0,Sequential2020-06-10 03:05:05.293403,1,relu,GlorotUniform,5,2,128,10,10000,3,2.584962500721156,0.9909999966621399,0.9318000078201294,0.9711999893188477
2020-06-10 03:18:01.147656,mnist,0,0,Sequential2020-06-10 03:18:01.147656,1,relu,GlorotUniform,5,2,128,10,10000,3,2.807354922057604,0.9908999800682068,0.9373999834060669,0.9760000109672546
2020-06-10 03:23:36.932404,mnist,0,0,Sequential2020-06-10 03:23:36.932404,1,relu,GlorotUniform,7,2,128,10,10000,1,1.584962500721156,0.9882000088691711,0.9126999974250793,0.3725000023841858
2020-06-10 03:29:13.403736,mnist,0,0,Sequential2020-06-10 03:29:13.403736,1,relu,GlorotUniform,7,2,128,10,10000,1,2.0,0.9842000007629395,0.8604000210762024,0.9185000061988831
2020-06-10 03:34:47.203337,mnist,0,0,Sequential2020-06-10 03:34:47.203337,1,relu,GlorotUniform,7,2,128,10,10000,1,2.321928094887362,0.983299970626831,0.8317999839782715,0.9061999917030334
2020-06-10 03:40:24.850917,mnist,0,0,Sequential2020-06-10 03:40:24.850917,1,relu,GlorotUniform,7,2,128,10,10000,1,2.584962500721156,0.9884999990463257,0.886900007724762,0.9283999800682068
