,data_set,np_seed,tf_seed,serialized_model,kernels_per_layer,rectifier,kernel_init,conv_kernel_sizes,conv_strides,dropout_rates,pool_sizes,pool_strides,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-13_03:56:55.878905,mnist,1,0,Sequential2020-06-13_03:56:55.878936,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9366000294685364,0.43720000982284546,0.24210000038146973
2020-06-13_03:57:23.696086,mnist,1,0,Sequential2020-06-13_03:57:23.696117,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9366000294685364,0.5777000188827515,0.25619998574256897
2020-06-13_03:57:51.698368,mnist,1,0,Sequential2020-06-13_03:57:51.698399,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9366000294685364,0.5983999967575073,0.24879999458789825
2020-06-13_03:58:44.189352,mnist,1,0,Sequential2020-06-13_03:58:44.189384,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9459999799728394,0.3483999967575073,0.4088999927043915
2020-06-13_03:59:41.200123,mnist,1,0,Sequential2020-06-13_03:59:41.200155,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9466000199317932,0.588699996471405,0.4934000074863434
2020-06-13_04:00:34.341351,mnist,1,0,Sequential2020-06-13_04:00:34.341380,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9474999904632568,0.57669997215271,0.4927999973297119
2020-06-13_04:01:03.117303,mnist,1,0,Sequential2020-06-13_04:01:03.117334,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9330000281333923,0.2125999927520752,0.1842000037431717
2020-06-13_04:01:31.891246,mnist,1,0,Sequential2020-06-13_04:01:31.891278,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9330000281333923,0.3257000148296356,0.2152000069618225
2020-06-13_04:02:00.584719,mnist,1,0,Sequential2020-06-13_04:02:00.584750,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9330000281333923,0.3176000118255615,0.22380000352859497
2020-06-13_04:02:54.776966,mnist,1,0,Sequential2020-06-13_04:02:54.776998,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9470999836921692,0.263700008392334,0.10869999974966049
2020-06-13_04:03:48.574996,mnist,1,0,Sequential2020-06-13_04:03:48.575027,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9462000131607056,0.28040000796318054,0.25060001015663147
2020-06-13_04:04:46.521043,mnist,1,0,Sequential2020-06-13_04:04:46.521077,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9456999897956848,0.25699999928474426,0.14139999449253082
2020-06-13_04:05:15.832256,mnist,1,0,Sequential2020-06-13_04:05:15.832289,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9225999712944031,0.415800005197525,0.1868000030517578
2020-06-13_04:05:44.966482,mnist,1,0,Sequential2020-06-13_04:05:44.966514,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9225999712944031,0.4131999909877777,0.2865000069141388
2020-06-13_04:06:14.126624,mnist,1,0,Sequential2020-06-13_04:06:14.126656,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9225999712944031,0.42089998722076416,0.27469998598098755
2020-06-13_04:07:08.701438,mnist,1,0,Sequential2020-06-13_04:07:08.701469,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9358000159263611,0.3725000023841858,0.4422999918460846
2020-06-13_04:08:03.206186,mnist,1,0,Sequential2020-06-13_04:08:03.206217,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9351999759674072,0.4666999876499176,0.3619999885559082
2020-06-13_04:08:57.836546,mnist,1,0,Sequential2020-06-13_04:08:57.836579,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9352999925613403,0.47119998931884766,0.38999998569488525
2020-06-13_04:09:25.774159,mnist,1,0,Sequential2020-06-13_04:09:25.774192,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9182999730110168,0.5026000142097473,0.2644999921321869
2020-06-13_04:09:57.879476,mnist,1,0,Sequential2020-06-13_04:09:57.879507,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9182999730110168,0.5245000123977661,0.2833999991416931
2020-06-13_04:10:26.375859,mnist,1,0,Sequential2020-06-13_04:10:26.375899,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9182999730110168,0.5242999792098999,0.26420000195503235
2020-06-13_04:11:20.831787,mnist,1,0,Sequential2020-06-13_04:11:20.831820,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9277999997138977,0.5254999995231628,0.3917999863624573
2020-06-13_04:12:13.812965,mnist,1,0,Sequential2020-06-13_04:12:13.812999,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9301999807357788,0.6313999891281128,0.5608000159263611
2020-06-13_04:13:06.635614,mnist,1,0,Sequential2020-06-13_04:13:06.635645,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9289000034332275,0.5978999733924866,0.5123000144958496
2020-06-13_04:13:35.320343,mnist,1,0,Sequential2020-06-13_04:13:35.320374,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9083999991416931,0.15960000455379486,0.15230000019073486
2020-06-13_04:14:04.010291,mnist,1,0,Sequential2020-06-13_04:14:04.010322,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9083999991416931,0.22499999403953552,0.2134000062942505
2020-06-13_04:14:32.662313,mnist,1,0,Sequential2020-06-13_04:14:32.662344,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9083999991416931,0.23350000381469727,0.22519999742507935
2020-06-13_04:15:31.262153,mnist,1,0,Sequential2020-06-13_04:15:31.262185,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9311000108718872,0.2143000066280365,0.22579999268054962
2020-06-13_04:16:25.894996,mnist,1,0,Sequential2020-06-13_04:16:25.895027,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.932699978351593,0.1996999979019165,0.18700000643730164
2020-06-13_04:17:20.286156,mnist,1,0,Sequential2020-06-13_04:17:20.286189,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9315999746322632,0.1607999950647354,0.19220000505447388
2020-06-13_04:17:49.258917,mnist,1,0,Sequential2020-06-13_04:17:49.258950,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.8938999772071838,0.2842000126838684,0.11429999768733978
2020-06-13_04:18:18.293025,mnist,1,0,Sequential2020-06-13_04:18:18.293057,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.8938999772071838,0.32409998774528503,0.10649999976158142
2020-06-13_04:18:47.173815,mnist,1,0,Sequential2020-06-13_04:18:47.173847,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.8938999772071838,0.30809998512268066,0.10339999943971634
2020-06-13_04:19:41.510840,mnist,1,0,Sequential2020-06-13_04:19:41.510871,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9132999777793884,0.2232999950647354,0.15379999577999115
2020-06-13_04:20:41.399371,mnist,1,0,Sequential2020-06-13_04:20:41.399402,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9064000248908997,0.20739999413490295,0.1429000049829483
2020-06-13_04:21:36.881957,mnist,1,0,Sequential2020-06-13_04:21:36.881989,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9057999849319458,0.25130000710487366,0.14100000262260437
2020-06-13_04:22:05.248217,mnist,1,0,Sequential2020-06-13_04:22:05.248248,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.8828999996185303,0.4544999897480011,0.39730000495910645
2020-06-13_04:22:33.343213,mnist,1,0,Sequential2020-06-13_04:22:33.343244,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.8828999996185303,0.4668999910354614,0.3758000135421753
2020-06-13_04:23:01.519608,mnist,1,0,Sequential2020-06-13_04:23:01.519640,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.8828999996185303,0.4839000105857849,0.38019999861717224
2020-06-13_04:23:54.411767,mnist,1,0,Sequential2020-06-13_04:23:54.411799,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.904699981212616,0.4366999864578247,0.323199987411499
2020-06-13_04:24:47.084326,mnist,1,0,Sequential2020-06-13_04:24:47.084359,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9045000076293945,0.46389999985694885,0.36820000410079956
2020-06-13_04:25:39.758717,mnist,1,0,Sequential2020-06-13_04:25:39.758747,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9060999751091003,0.45179998874664307,0.34790000319480896
2020-06-13_04:26:13.278782,mnist,1,0,Sequential2020-06-13_04:26:13.278814,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9513000249862671,0.23149999976158142,0.1737000048160553
2020-06-13_04:26:42.283963,mnist,1,0,Sequential2020-06-13_04:26:42.283997,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9513000249862671,0.2635999917984009,0.09749999642372131
2020-06-13_04:27:11.138006,mnist,1,0,Sequential2020-06-13_04:27:11.138038,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9513000249862671,0.25859999656677246,0.09570000320672989
2020-06-13_04:28:05.334012,mnist,1,0,Sequential2020-06-13_04:28:05.334043,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9531000256538391,0.2222999930381775,0.19869999587535858
2020-06-13_04:28:59.553738,mnist,1,0,Sequential2020-06-13_04:28:59.553773,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9564999938011169,0.351500004529953,0.2468000054359436
2020-06-13_04:29:53.651836,mnist,1,0,Sequential2020-06-13_04:29:53.651869,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9580000042915344,0.31869998574256897,0.26669999957084656
2020-06-13_04:30:22.549664,mnist,1,0,Sequential2020-06-13_04:30:22.549698,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.926800012588501,0.2630999982357025,0.2639000117778778
2020-06-13_04:30:51.499677,mnist,1,0,Sequential2020-06-13_04:30:51.499706,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.926800012588501,0.24719999730587006,0.18209999799728394
2020-06-13_04:31:24.752260,mnist,1,0,Sequential2020-06-13_04:31:24.752290,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.926800012588501,0.2565000057220459,0.20000000298023224
2020-06-13_04:32:19.841232,mnist,1,0,Sequential2020-06-13_04:32:19.841262,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9472000002861023,0.3215000033378601,0.20640000700950623
2020-06-13_04:33:14.499022,mnist,1,0,Sequential2020-06-13_04:33:14.499054,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9420999884605408,0.3458999991416931,0.2888999879360199
2020-06-13_04:34:09.250742,mnist,1,0,Sequential2020-06-13_04:34:09.250773,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9434999823570251,0.36489999294281006,0.33959999680519104
2020-06-13_04:34:37.358843,mnist,1,0,Sequential2020-06-13_04:34:37.358875,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9229999780654907,0.40639999508857727,0.3488999903202057
2020-06-13_04:35:05.333469,mnist,1,0,Sequential2020-06-13_04:35:05.333500,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9229999780654907,0.5546000003814697,0.41620001196861267
2020-06-13_04:35:33.368782,mnist,1,0,Sequential2020-06-13_04:35:33.368812,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9229999780654907,0.54830002784729,0.3930000066757202
2020-06-13_04:36:30.281721,mnist,1,0,Sequential2020-06-13_04:36:30.281756,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9484999775886536,0.47850000858306885,0.27619999647140503
2020-06-13_04:37:23.806240,mnist,1,0,Sequential2020-06-13_04:37:23.806271,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9466999769210815,0.44200000166893005,0.2944999933242798
2020-06-13_04:38:16.988234,mnist,1,0,Sequential2020-06-13_04:38:16.988266,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9473000168800354,0.41029998660087585,0.302700012922287
2020-06-13_04:38:45.790708,mnist,1,0,Sequential2020-06-13_04:38:45.790740,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9373000264167786,0.2705000042915344,0.14139999449253082
2020-06-13_04:39:14.632070,mnist,1,0,Sequential2020-06-13_04:39:14.632100,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9373000264167786,0.29330000281333923,0.09290000051259995
2020-06-13_04:39:43.330426,mnist,1,0,Sequential2020-06-13_04:39:43.330459,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9373000264167786,0.29249998927116394,0.09560000151395798
2020-06-13_04:40:37.369962,mnist,1,0,Sequential2020-06-13_04:40:37.369991,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9431999921798706,0.3562999963760376,0.09189999848604202
2020-06-13_04:41:31.553118,mnist,1,0,Sequential2020-06-13_04:41:31.553149,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.942300021648407,0.4131999909877777,0.10840000212192535
2020-06-13_04:42:30.357369,mnist,1,0,Sequential2020-06-13_04:42:30.357401,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9452000260353088,0.336899995803833,0.1492999941110611
2020-06-13_04:42:59.747587,mnist,1,0,Sequential2020-06-13_04:42:59.747638,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9089000225067139,0.3231000006198883,0.3815000057220459
2020-06-13_04:43:28.914441,mnist,1,0,Sequential2020-06-13_04:43:28.914473,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9089000225067139,0.26820001006126404,0.27900001406669617
2020-06-13_04:43:57.970254,mnist,1,0,Sequential2020-06-13_04:43:57.970285,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9089000225067139,0.25619998574256897,0.25679999589920044
2020-06-13_04:44:53.195221,mnist,1,0,Sequential2020-06-13_04:44:53.195252,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9359999895095825,0.31150001287460327,0.1720999926328659
2020-06-13_04:45:47.838475,mnist,1,0,Sequential2020-06-13_04:45:47.838505,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9284999966621399,0.32710000872612,0.25619998574256897
2020-06-13_04:46:42.323360,mnist,1,0,Sequential2020-06-13_04:46:42.323392,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9305999875068665,0.33410000801086426,0.30250000953674316
2020-06-13_04:47:10.348598,mnist,1,0,Sequential2020-06-13_04:47:10.348630,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9114000201225281,0.30320000648498535,0.3702000081539154
2020-06-13_04:47:43.185559,mnist,1,0,Sequential2020-06-13_04:47:43.185591,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9114000201225281,0.38440001010894775,0.21660000085830688
2020-06-13_04:48:11.574040,mnist,1,0,Sequential2020-06-13_04:48:11.574073,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9114000201225281,0.38499999046325684,0.2353000044822693
2020-06-13_04:49:04.544055,mnist,1,0,Sequential2020-06-13_04:49:04.544088,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9200000166893005,0.4869999885559082,0.28610000014305115
2020-06-13_04:49:57.427350,mnist,1,0,Sequential2020-06-13_04:49:57.427382,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9315999746322632,0.48030000925064087,0.4226999878883362
2020-06-13_04:50:50.192750,mnist,1,0,Sequential2020-06-13_04:50:50.192783,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9311000108718872,0.4424000084400177,0.19629999995231628
2020-06-13_04:51:19.006043,mnist,1,0,Sequential2020-06-13_04:51:19.006075,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9171000123023987,0.24289999902248383,0.23090000450611115
2020-06-13_04:51:47.737685,mnist,1,0,Sequential2020-06-13_04:51:47.737716,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9171000123023987,0.19359999895095825,0.17949999868869781
2020-06-13_04:52:16.346695,mnist,1,0,Sequential2020-06-13_04:52:16.346727,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9171000123023987,0.19599999487400055,0.18240000307559967
2020-06-13_04:53:15.275895,mnist,1,0,Sequential2020-06-13_04:53:15.275927,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.930899977684021,0.4043000042438507,0.2685999870300293
2020-06-13_04:54:09.898010,mnist,1,0,Sequential2020-06-13_04:54:09.898040,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9309999942779541,0.41499999165534973,0.40869998931884766
2020-06-13_04:55:04.475077,mnist,1,0,Sequential2020-06-13_04:55:04.475106,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9309999942779541,0.44589999318122864,0.38929998874664307
2020-06-13_04:55:33.527310,mnist,1,0,Sequential2020-06-13_04:55:33.527341,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.8914999961853027,0.2231999933719635,0.27000001072883606
2020-06-13_04:56:02.584103,mnist,1,0,Sequential2020-06-13_04:56:02.584132,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.8914999961853027,0.24410000443458557,0.2280000001192093
2020-06-13_04:56:31.593361,mnist,1,0,Sequential2020-06-13_04:56:31.593392,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.8914999961853027,0.24979999661445618,0.24089999496936798
2020-06-13_04:57:26.140060,mnist,1,0,Sequential2020-06-13_04:57:26.140089,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.920199990272522,0.3319999873638153,0.22439999878406525
2020-06-13_04:58:25.918052,mnist,1,0,Sequential2020-06-13_04:58:25.918083,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.917900025844574,0.38359999656677246,0.2565000057220459
2020-06-13_04:59:21.206349,mnist,1,0,Sequential2020-06-13_04:59:21.206381,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9178000092506409,0.3441999852657318,0.2782000005245209
2020-06-13_04:59:49.398695,mnist,1,0,Sequential2020-06-13_04:59:49.398727,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.8865000009536743,0.3328999876976013,0.2547999918460846
2020-06-13_05:00:17.829973,mnist,1,0,Sequential2020-06-13_05:00:17.830004,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.8865000009536743,0.3815000057220459,0.1817999929189682
