,data_set,np_seed,tf_seed,serialized_model,kernels_per_layer,rectifier,kernel_init,conv_kernel_sizes,conv_strides,dropout_rates,pool_sizes,pool_strides,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-12_14:54:09.577540,mnist,0,0,Sequential2020-06-12_14:54:09.577572,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9248999953269958,0.43939998745918274,0.2542000114917755
2020-06-12_14:55:02.751468,mnist,0,0,Sequential2020-06-12_14:55:02.751499,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9241999983787537,0.4575999975204468,0.275299996137619
2020-06-12_14:55:30.536243,mnist,0,0,Sequential2020-06-12_14:55:30.536274,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9196000099182129,0.34689998626708984,0.3246000111103058
2020-06-12_14:55:57.728271,mnist,0,0,Sequential2020-06-12_14:55:57.728301,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9196000099182129,0.45509999990463257,0.31520000100135803
2020-06-12_14:56:24.088852,mnist,0,0,Sequential2020-06-12_14:56:24.088883,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9196000099182129,0.4659999907016754,0.3093999922275543
2020-06-12_14:57:16.810880,mnist,0,0,Sequential2020-06-12_14:57:16.810910,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9333999752998352,0.30660000443458557,0.558899998664856
2020-06-12_14:58:08.185753,mnist,0,0,Sequential2020-06-12_14:58:08.185783,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9337999820709229,0.5537999868392944,0.555899977684021
2020-06-12_14:58:59.359723,mnist,0,0,Sequential2020-06-12_14:58:59.359756,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9354000091552734,0.5475999712944031,0.565500020980835
2020-06-12_14:59:26.825582,mnist,0,0,Sequential2020-06-12_14:59:26.825613,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9017000198364258,0.2851000130176544,0.1842000037431717
2020-06-12_14:59:55.275663,mnist,0,0,Sequential2020-06-12_14:59:55.275695,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9017000198364258,0.18129999935626984,0.21439999341964722
2020-06-12_15:00:23.735634,mnist,0,0,Sequential2020-06-12_15:00:23.735664,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9017000198364258,0.17960000038146973,0.17870000004768372
2020-06-12_15:01:17.527936,mnist,0,0,Sequential2020-06-12_15:01:17.527966,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.930899977684021,0.22179999947547913,0.2110999971628189
2020-06-12_15:02:13.499404,mnist,0,0,Sequential2020-06-12_15:02:13.499435,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9334999918937683,0.2563999891281128,0.38339999318122864
